"customer_id","customer_name","customer_email","type_client","Business_region","first_order","last_order","quantity_orders","customer_span","avg_days_between_orders","customer_risk","customer_loyalty"
"CID136","Laura Mota","laura.mota@gmail.com","B2C","EMEA","2022-08-25","2022-10-12","3","48","24.00","High Risk","Regular"
"CID137","Eva Moura","eva.moura@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID138","Julia Nascimento","julia.nascimento@azure.com","B2B","EMEA","2022-11-02","2023-01-18","3","77","38.50","High Risk","Regular"
"CID139","Gabriel Neto","gabriel.neto@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID140","Frank Neves","frank.neves@hotmail.com","B2C","AMER","2022-04-05","2022-05-28","2","53","53.00","High Risk","Regular"
"CID141","Rui Nóbrega","rui.nobrega@azure.com","B2B","EMEA","2023-09-22","2023-09-22","1","0","0.00","Low Risk","Regular"
"CID142","Laura Nogueira","laura.nogueira@gmail.com","B2C","EMEA","2023-03-16","2023-03-16","1","0","0.00","High Risk","Regular"
"CID143","Eva Noronha","eva.noronha@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID144","Julia Novaes","julia.novaes@azure.com","B2B","EMEA","2022-05-29","2022-11-05","3","160","80.00","High Risk","Regular"
"CID145","Gabriel Nunes","gabriel.nunes@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID146","Frank Oliveira","frank.oliveira@hotmail.com","B2C","AMER","2022-06-14","2022-12-22","3","191","95.50","High Risk","Regular"
"CID031","Gabriel Oliveira","gabriel.oliveira@gmail.com","B2C","AMER","2023-05-12","2023-05-12","1","0","0.00","High Risk","Regular"
"CID147","Rui Pacheco","rui.pacheco@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID148","Laura Padilha","laura.padilha@gmail.com","B2C","EMEA","2022-10-22","2022-12-25","3","64","32.00","High Risk","Regular"
"CID149","Eva Paiva","eva.paiva@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID150","Julia Paixão","julia.paixao@azure.com","B2B","EMEA","2022-08-15","2022-08-15","1","0","0.00","High Risk","Regular"
"CID151","Gabriel Palma","gabriel.palma@gmail.com","B2C","AMER","2023-05-18","2023-05-18","1","0","0.00","High Risk","Regular"
"CID152","Frank Pamplona","frank.pamplona@hotmail.com","B2C","AMER","2022-08-27","2022-08-27","1","0","0.00","High Risk","Regular"
"CID153","Rui Paranhos","rui.paranhos@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID154","Laura Passos","laura.passos@gmail.com","B2C","EMEA","2022-10-09","2023-03-04","3","146","73.00","High Risk","Regular"
"CID155","Eva Pastore","eva.pastore@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID156","Julia Patrício","julia.patricio@azure.com","B2B","EMEA","2023-02-07","2023-03-14","3","35","17.50","High Risk","Regular"
"CID157","Gabriel Paula","gabriel.paula@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID158","Frank Paz","frank.paz@hotmail.com","B2C","AMER","2022-08-01","2022-08-25","3","24","12.00","High Risk","Regular"
"CID159","Rui Peixoto","rui.peixoto@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID160","Laura Pena","laura.pena@gmail.com","B2C","EMEA","2022-11-25","2023-01-12","3","48","24.00","High Risk","Regular"
"CID161","Eva Penha","eva.penha@hotmail.com","B2C","EMEA","2023-03-12","2023-03-12","1","0","0.00","High Risk","Regular"
"CID162","Julia Penteado","julia.penteado@azure.com","B2B","EMEA","2022-09-09","2022-10-29","3","50","25.00","High Risk","Regular"
"CID163","Gabriel Pereira","gabriel.pereira@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID164","Frank Peres","frank.peres@hotmail.com","B2C","AMER","2022-05-03","2022-12-20","3","231","115.50","High Risk","Regular"
"CID165","Rui Pessoa","rui.pessoa@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID166","Laura Pestana","laura.pestana@gmail.com","B2C","EMEA","2022-09-15","2022-10-22","4","37","12.33","High Risk","Loyal"
"CID167","Eva Pimenta","eva.pimenta@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID168","Julia Pinheiro","julia.pinheiro@azure.com","B2B","EMEA","2022-12-02","2023-03-14","3","102","51.00","High Risk","Regular"
"CID169","Gabriel Pinto","gabriel.pinto@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID010","Laura Pinto","laura.pinto@gmail.com","B2C","EMEA","2023-02-11","2023-05-22","3","100","50.00","High Risk","Regular"
"CID033","Rui Pinto","rui.pinto@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID170","Frank Pires","frank.pires@hotmail.com","B2C","AMER","2022-08-01","2022-09-05","2","35","35.00","High Risk","Regular"
"CID171","Rui Plácido","rui.placido@azure.com","B2B","EMEA","2023-11-26","2023-11-26","1","0","0.00","Low Risk","Regular"
"CID172","Laura Pombal","laura.pombal@gmail.com","B2C","EMEA","2022-06-18","2022-07-25","3","37","18.50","High Risk","Regular"
"CID173","Eva Ponce","eva.ponce@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID174","Julia Ponte","julia.ponte@azure.com","B2B","EMEA","2022-11-25","2023-01-26","3","62","31.00","High Risk","Regular"
"CID175","Gabriel Portela","gabriel.portela@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID176","Frank Porto","frank.porto@hotmail.com","B2C","AMER","2022-10-14","2023-01-30","3","108","54.00","High Risk","Regular"
"CID177","Rui Prado","rui.prado@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID178","Laura Prates","laura.prates@gmail.com","B2C","EMEA","2023-02-21","2023-03-21","3","28","14.00","High Risk","Regular"
"CID179","Eva Queirós","eva.queiros@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID180","Julia Queiroz","julia.queiroz@azure.com","B2B","EMEA","2022-05-20","2022-07-15","3","56","28.00","High Risk","Regular"
"CID181","Gabriel Quental","gabriel.quental@gmail.com","B2C","AMER","2023-10-05","2023-10-05","1","0","0.00","Low Risk","Regular"
"CID182","Frank Rego","frank.rego@hotmail.com","B2C","AMER","2022-12-02","2023-02-14","3","74","37.00","High Risk","Regular"
"CID183","Rui Reis","rui.reis@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID184","Laura Rendeiro","laura.rendeiro@gmail.com","B2C","EMEA","2022-05-02","2022-05-30","2","28","28.00","High Risk","Regular"
"CID185","Eva Resende","eva.resende@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID186","Julia Ribeiro","julia.ribeiro@azure.com","B2B","EMEA","2022-09-12","2022-11-17","3","66","33.00","High Risk","Regular"
"CID035","Eva Ribeiro","eva.ribeiro@hotmail.com","B2C","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID187","Gabriel Rios","gabriel.rios@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID188","Frank Rocha","frank.rocha@hotmail.com","B2C","AMER","2022-12-12","2022-12-28","3","16","8.00","High Risk","Regular"
"CID001","Eva Rodrigues","eva.rodrigues@gmail.com","B2C","EMEA","2022-10-15","2023-04-06","2","173","173.00","High Risk","Regular"
"CID189","Rui Rodrigues","rui.rodrigues@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID190","Laura Romano","laura.romano@gmail.com","B2C","EMEA","2022-10-09","2022-11-07","3","29","14.50","High Risk","Regular"
"CID191","Eva Rosa","eva.rosa@hotmail.com","B2C","EMEA","2023-06-25","2023-06-25","1","0","0.00","Medium Risk","Regular"
"CID192","Julia Rosado","julia.rosado@azure.com","B2B","EMEA","2022-06-18","2022-12-18","3","183","91.50","High Risk","Regular"
"CID193","Gabriel Rosário","gabriel.rosario@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID194","Frank Sá","frank.sa@hotmail.com","B2C","AMER","2022-08-30","2022-09-27","3","28","14.00","High Risk","Regular"
"CID195","Rui Saboia","rui.saboia@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
"CID007","Gabriel Santos","gabriel.santos@gmail.com","B2C","AMER","2023-10-11","2023-10-11","1","0","0.00","Low Risk","Regular"
"CID004","Frank Silva","frank.silva@gmail.com","B2C","EMEA","2023-06-17","2023-08-12","2","56","56.00","Medium Risk","Regular"
"CID028","Laura Silva","laura.silva@gmail.com","B2C","EMEA","2022-08-11","2022-12-15","2","126","126.00","High Risk","Regular"
"CID009","Rui Souza","rui.souza@azure.com","B2B","EMEA","2023-07-17","2023-08-07","2","21","21.00","Medium Risk","Regular"
"CID032","Frank Souza","frank.souza@hotmail.com","B2C","AMER","2022-10-05","2023-01-14","3","101","50.50","High Risk","Regular"
"CID013","Gabriel Teixeira","gabriel.teixeira@gmail.com","B2C","AMER","No records","No records","0","No records","0.00","Unknown","Low"
"CID036","Julia Teixeira","julia.teixeira@azure.com","B2B","EMEA","2023-02-12","2023-03-04","2","20","20.00","High Risk","Regular"
"CID016","Laura Vasconcelos","laura.vasconcelos@gmail.com","B2C","EMEA","2022-12-22","2023-03-14","3","82","41.00","High Risk","Regular"
"CID039","Rui Vasconcelos","rui.vasconcelos@azure.com","B2B","EMEA","No records","No records","0","No records","0.00","Unknown","Low"
